task,start,end
code,2022-04-14 08:23:06.622216,2022-04-14 08:32:52.451770
code,2022-04-14 08:34:07.603569,2022-04-14 09:19:45.137880
meeting,2022-04-14 09:26:09.656439,2022-04-14 10:24:41.669096
meeting,2022-04-14 10:25:01.013469,2022-04-14 11:26:52.421354
code,2022-04-14 11:30:55.234334,2022-04-14 11:38:10.374245
code,2022-04-14 12:01:50.968599,2022-04-14 12:04:17.140210
code,2022-04-14 12:04:50.742706,2022-04-14 12:25:37.572932
meeting,2022-04-14 12:36:01.954646,2022-04-14 13:07:03.415544
code,2022-04-14 13:51:37.672030,2022-04-14 14:46:56.616833
code,2022-04-14 15:32:09.443308,2022-04-14 16:11:24.957005
meeting,2022-04-14 16:30:39.059199,2022-04-14 17:48:52.101233
code,2022-04-14 19:07:43.275492,2022-04-14 19:16:42.789545
code,2022-04-14 19:17:22.721387,2022-04-14 20:38:53.285133
code,2022-04-14 20:38:56.798265,2022-04-14 20:55:53.812496
code,2022-04-16 08:21:18.007980,2022-04-16 08:46:31.553012
meeting,2022-04-19 19:26:44.857611,2022-04-19 20:55:48.218340
TA,2022-04-20 07:53:36.296738,2022-04-20 08:40:59.899474
misc,2022-04-15 08:17:23.064209,2022-04-15 08:21:31.840179
code,2022-04-15 08:21:34.677596,2022-04-15 08:37:53.323382
code,2022-04-15 08:37:56.765713,2022-04-15 08:45:07.852627
code,2022-04-15 08:53:43.876519,2022-04-15 09:06:09.562698
code,2022-04-15 09:06:17.511519,2022-04-15 09:10:00.555944
code,2022-04-15 09:11:03.750565,2022-04-15 09:24:32.148078
code,2022-04-15 09:24:50.615694,2022-04-15 09:35:58.891092
writing,2022-04-15 09:36:02.851042,2022-04-15 10:03:01.353796
writing,2022-04-15 10:16:01.860354,2022-04-15 10:45:22.392045
TA,2022-04-15 10:59:26.661070,2022-04-15 11:25:47.362844
TA,2022-04-15 11:36:29.393330,2022-04-15 12:48:16.574985
TA,2022-04-15 13:16:39.377180,2022-04-15 14:21:27.218889
TA,2022-04-15 14:35:38.320625,2022-04-15 15:35:16.139890
code,2022-04-15 16:35:37.942660,2022-04-15 17:00:19.554125
code,2022-04-17 08:39:07.028414,2022-04-17 08:50:48.553488
presentation,2022-04-17 09:02:04.231983,2022-04-17 09:58:16.310426
presentation,2022-04-17 10:07:27.983689,2022-04-17 11:20:55.300931
misc,2022-04-17 11:22:29.192651,2022-04-17 12:13:55.083159
misc,2022-04-17 12:21:12.063675,2022-04-17 12:28:05.417104
reading,2022-04-17 12:55:41.173810,2022-04-17 14:00:45.911799
reading,2022-04-17 14:51:36.641776,2022-04-17 15:45:15.878671
meeting,2022-04-17 15:45:21.515493,2022-04-17 16:16:46.886758
reading,2022-04-17 16:28:17.418282,2022-04-17 17:43:58.747237
reading,2022-04-18 08:49:00.260794,2022-04-18 10:01:37.656357
code,2022-04-18 10:18:11.474970,2022-04-18 11:25:16.080648
reading,2022-04-18 11:34:25.418889,2022-04-18 12:52:09.515535
code,2022-04-18 13:52:17.005671,2022-04-18 14:28:01.556855
code,2022-04-18 14:36:14.088357,2022-04-18 15:20:05.949625
code,2022-04-18 15:28:16.378096,2022-04-18 16:18:35.536491
code,2022-04-18 16:29:39.653941,2022-04-18 18:07:36.677838
reading,2022-04-19 08:27:54.675639,2022-04-19 08:48:28.571478
reading,2022-04-19 08:54:13.602198,2022-04-19 09:20:17.897809
thinking,2022-04-19 09:20:31.946950,2022-04-19 09:49:06.738072
code,2022-04-19 09:49:10.364526,2022-04-19 09:58:12.490057
code,2022-04-19 10:07:39.827988,2022-04-19 10:28:21.955258
writing,2022-04-19 10:28:25.362207,2022-04-19 11:26:31.066434
code,2022-04-19 11:36:04.312927,2022-04-19 12:21:29.272687
code,2022-04-19 12:54:48.099488,2022-04-19 14:10:57.420070
code,2022-04-19 14:22:53.980862,2022-04-19 15:07:43.541168
code,2022-04-19 15:57:31.493256,2022-04-19 17:19:44.821099
thinking,2022-04-20 09:12:36.546292,2022-04-20 10:17:20.565340
thinking,2022-04-20 10:37:28.870293,2022-04-20 11:00:48.865755
thinking,2022-04-20 11:01:22.403492,2022-04-20 11:42:00.458423
thinking,2022-04-20 11:53:11.355508,2022-04-20 12:58:43.704121
thinking,2022-04-20 13:46:40.453105,2022-04-20 14:19:34.434592
code,2022-04-20 14:19:38.191911,2022-04-20 14:44:36.303953
code,2022-04-20 14:55:15.230168,2022-04-20 16:05:09.591292